FAILURE: Job Title: Tiles Mason at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Tiles Mason at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Refrigeration Technician (HVAC & Chiller) at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Manicurist and Pedicurist (Male) at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Water Pump Mechanic at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Plumber at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Shuttering Carpenter at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Water Station Operator at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: House Electrician at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: 3 Face AC Mechanic (Split) at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: AC Mechanic (Split) at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Production Engineer (Filter Factory) at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Senior Machine Operator (Tablet, Capsule, Granulation) at Iraq. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Senior Liquid Filling Line Operator at Iraq. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Senior Blistering & Carton Machine Operator at Iraq. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Chemical Engineer at Iraq. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Electronic Technician (Fire Alarm Systems) at KSA. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Coat Maker at Madina. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Coat Cutter at Madina. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Gents Tailor - Pant and Shirt at Saudi Arabia. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Ladies Tailor Cutter at Saudi Arabia. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Thob Tailor at Saudi Arabia. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Pest Control Supervisor at Oman. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Pest Control Technician at Oman. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Instrument Technician at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Pipe Fabricator at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Mechanical Helper at UAE. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Document Controller at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Welding Inspector at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Welding Inspector at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: E&I Engineers at Qatar. Error: Cannot read properties of undefined (reading 'status')
FAILURE: Job Title: Coat Maker at Madina. Error: Status: 400. , Bad Request
FAILURE: Job Title: Pest Control Supervisor at Oman. Error: Status: 400. , Bad Request
FAILURE: Job Title: Coat Cutter at Madina. Error: Status: 400. , Bad Request
FAILURE: Job Title: Tiles Mason at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Water Pump Mechanic at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Chemical Engineer at Iraq. Error: Status: 400. , Bad Request
FAILURE: Job Title: Refrigeration Technician (HVAC & Chiller) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Gents Tailor - Pant and Shirt at Saudi Arabia. Error: Status: 400. , Bad Request
FAILURE: Job Title: AC Mechanic (Split) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Plumber at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Tiles Mason at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electronic Technician (Fire Alarm Systems) at KSA. Error: Status: 400. , Bad Request
FAILURE: Job Title: Thob Tailor at Saudi Arabia. Error: Status: 400. , Bad Request
FAILURE: Job Title: Senior Machine Operator (Tablet, Capsule, Granulation) at Iraq. Error: Status: 400. , Bad Request
FAILURE: Job Title: Water Station Operator at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Pipe Fabricator at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Shuttering Carpenter at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Mechanical Helper at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Senior Liquid Filling Line Operator at Iraq. Error: Status: 400. , Bad Request
FAILURE: Job Title: Senior Blistering & Carton Machine Operator at Iraq. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Instrument Technician at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Pest Control Technician at Oman. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Manicurist and Pedicurist (Male) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: 3 Face AC Mechanic (Split) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Production Engineer (Filter Factory) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: House Electrician at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Ladies Tailor Cutter at Saudi Arabia. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 400. , Bad Request
