Function Name	Invocation Count
kovon-nurse-candidate-dev-candidateAuthorizer	131476
kovon-nurse-candidate-dev-getUser	37074
kovon-nurse-candidate-dev-getJobs	31183
kovon-nurse-candidate-dev-getSpotlight	10310
kovon-nurse-candidate-dev-getFeed	10301
kovon-nurse-candidate-dev-getCountries	8064
kovon-nurse-candidate-dev-getAskExpert	5963
kovon-nurse-candidate-dev-getJobApplication	5584
kovon-nurse-candidate-dev-postJobs	3196
kovon-nurse-candidate-dev-getCommunity	2863
kovon-nurse-candidate-dev-suggestCommunity	2650
kovon-nurse-candidate-dev-getHistoricalLegalDocument	2033
kovon-nurse-candidate-dev-getFeaturedJobs	1922
kovon-nurse-candidate-dev-getCurrentJobVacancies	1797
kovon-nurse-candidate-dev-getPopularJobs	1566
kovon-nurse-candidate-dev-jobsListingForAdmin	1213
kovon-nurse-candidate-dev-patchUser	851
kovon-nurse-candidate-dev-postJobsApplication	690
kovon-nurse-candidate-dev-mediaAssetConfirmUploadCandidate	640
kovon-nurse-candidate-dev-getAllTasksDataByCandidateId	635
kovon-nurse-candidate-dev-getPreSignedUrlV2	578
kovon-nurse-candidate-dev-mediaAssetConfirmUploadPublic	339
kovon-nurse-candidate-dev-patchJobsApplication	284
kovon-nurse-candidate-dev-currencyValueUpdater	276
kovon-nurse-candidate-dev-createFeed	270
kovon-nurse-candidate-dev-getEvent	270
kovon-nurse-candidate-dev-listDocumentMappers	261
kovon-nurse-candidate-dev-searchUser	247
kovon-nurse-candidate-dev-publicJobSearch	233
kovon-nurse-candidate-dev-getJobCategoryCounts	194
kovon-nurse-candidate-dev-createAskExpert	133
kovon-nurse-candidate-dev-sendJobsAppExcel	105
kovon-nurse-candidate-dev-sendUserExcel	99
kovon-nurse-candidate-dev-jobCountBasedOnCategory	92
kovon-nurse-candidate-dev-vacancyCountUpdater	92
kovon-nurse-candidate-dev-getPresignedUrl	91
kovon-nurse-candidate-dev-getCompany	70
kovon-nurse-candidate-dev-getComments	69
kovon-nurse-candidate-dev-commonAuthorizer	68
kovon-nurse-candidate-dev-patchJobs	67
kovon-nurse-candidate-dev-trendingTags	64
kovon-nurse-candidate-dev-createLike	42
kovon-nurse-candidate-dev-postComment	25
kovon-nurse-candidate-dev-createReferral	17
kovon-nurse-candidate-dev-createTasksData	16
kovon-nurse-candidate-dev-createHistoricalLegalDocument	15
kovon-nurse-candidate-dev-createDocumentMapper	9
kovon-nurse-candidate-dev-downloadJobApplications	6
kovon-nurse-candidate-dev-createCommentLike	5
kovon-nurse-candidate-dev-getBuddies	5
kovon-nurse-candidate-dev-patchFeed	5
kovon-nurse-candidate-dev-suggestBuddies	5
kovon-nurse-candidate-dev-uploadDocMapper	5
kovon-nurse-candidate-dev-createBuddy	4
kovon-nurse-candidate-dev-createEvent	3
kovon-nurse-candidate-dev-custom-resource-existing-s3	3
kovon-nurse-candidate-dev-registerEvent	3
kovon-nurse-candidate-dev-postCompany	2
kovon-nurse-candidate-dev-custom-resource-apigw-cw-role	1
kovon-nurse-candidate-dev-patchComment	1
kovon-nurse-candidate-dev-patchEvent	1
kovon-nurse-candidate-dev-postUser	1
kovon-nurse-candidate-dev-createTag	0
kovon-nurse-candidate-dev-deleteBuddy	0
kovon-nurse-candidate-dev-deleteDocumentMapper	0
kovon-nurse-candidate-dev-deleteEvent	0
kovon-nurse-candidate-dev-deleteFeed	0
kovon-nurse-candidate-dev-deleteJob	0
kovon-nurse-candidate-dev-deleteRegisteredEvent	0
kovon-nurse-candidate-dev-getDocumentMapper	0
kovon-nurse-candidate-dev-getLike	0
kovon-nurse-candidate-dev-getRegisteredEvents	0
kovon-nurse-candidate-dev-getTaskDetails	0
kovon-nurse-candidate-dev-joinCommunity	0
kovon-nurse-candidate-dev-patchCompany	0
kovon-nurse-candidate-dev-patchTasksData	0
kovon-nurse-candidate-dev-updateBuddy	0
kovon-nurse-candidate-dev-updateDocumentMapper	0
kovon-nurse-candidate-dev-updateRegisteredEvent	0
kovon-nurse-candidate-dev-updateTag	0
