Function Name	Invocation Count
kovon-nurse-candidate-dev-candidateAuthorizer	205794
kovon-nurse-candidate-dev-getUser	62722
kovon-nurse-candidate-dev-getJobs	34022
kovon-nurse-candidate-dev-getFeed	19368
kovon-nurse-candidate-dev-getSpotlight	13506
kovon-nurse-candidate-dev-getCountries	12676
kovon-nurse-candidate-dev-getAskExpert	6397
kovon-nurse-candidate-dev-getCommunity	6317
kovon-nurse-candidate-dev-getJobApplication	6282
kovon-nurse-candidate-dev-getFeaturedJobs	5513
kovon-nurse-candidate-dev-suggestCommunity	4629
kovon-nurse-candidate-dev-getCurrentJobVacancies	4565
kovon-nurse-candidate-dev-getEvent	3853
kovon-nurse-candidate-dev-postJobs	3420
kovon-nurse-candidate-dev-getAllTasksDataByCandidateId	3401
kovon-nurse-candidate-dev-getPopularJobs	2934
kovon-nurse-candidate-dev-getBuddies	2631
kovon-nurse-candidate-dev-searchUser	2488
kovon-nurse-candidate-dev-patchUser	2145
kovon-nurse-candidate-dev-getHistoricalLegalDocument	2056
kovon-nurse-candidate-dev-publicJobSearch	1734
kovon-nurse-candidate-dev-suggestBuddies	1622
kovon-nurse-candidate-dev-jobsListingForAdmin	1321
kovon-nurse-candidate-dev-getPreSignedUrlV2	1085
kovon-nurse-candidate-dev-mediaAssetConfirmUploadCandidate	924
kovon-nurse-candidate-dev-createFeed	908
kovon-nurse-candidate-dev-postJobsApplication	838
kovon-nurse-candidate-dev-getPresignedUrl	682
kovon-nurse-candidate-dev-mediaAssetConfirmUploadPublic	633
kovon-nurse-candidate-dev-trendingTags	498
kovon-nurse-candidate-dev-listDocumentMappers	398
kovon-nurse-candidate-dev-postComment	364
kovon-nurse-candidate-dev-currencyValueUpdater	290
kovon-nurse-candidate-dev-patchJobsApplication	284
kovon-nurse-candidate-dev-getComments	267
kovon-nurse-candidate-dev-createLike	219
kovon-nurse-candidate-dev-createAskExpert	207
kovon-nurse-candidate-dev-getJobCategoryCounts	194
kovon-nurse-candidate-dev-getCompany	186
kovon-nurse-candidate-dev-vacancyCountUpdater	171
kovon-nurse-candidate-dev-createBuddy	163
kovon-nurse-candidate-dev-createCommentLike	108
kovon-nurse-candidate-dev-sendJobsAppExcel	105
kovon-nurse-candidate-dev-createTasksData	104
kovon-nurse-candidate-dev-sendUserExcel	99
kovon-nurse-candidate-dev-jobCountBasedOnCategory	95
kovon-nurse-candidate-dev-patchJobs	80
kovon-nurse-candidate-dev-commonAuthorizer	68
kovon-nurse-candidate-dev-postUser	67
kovon-nurse-candidate-dev-registerEvent	56
kovon-nurse-candidate-dev-joinCommunity	47
kovon-nurse-candidate-dev-updateBuddy	42
kovon-nurse-candidate-dev-createEvent	41
kovon-nurse-candidate-dev-downloadJobApplications	39
kovon-nurse-candidate-dev-createReferral	34
kovon-nurse-candidate-dev-uploadDocMapper	33
kovon-nurse-candidate-dev-createHistoricalLegalDocument	32
kovon-nurse-candidate-dev-createTag	24
kovon-nurse-candidate-dev-deleteBuddy	24
kovon-nurse-candidate-dev-patchFeed	20
kovon-nurse-candidate-dev-postCompany	19
kovon-nurse-candidate-dev-createDocumentMapper	13
kovon-nurse-candidate-dev-deleteRegisteredEvent	13
kovon-nurse-candidate-dev-patchEvent	12
kovon-nurse-candidate-dev-deleteJob	8
kovon-nurse-candidate-dev-custom-resource-existing-s3	5
kovon-nurse-candidate-dev-getTaskDetails	5
kovon-nurse-candidate-dev-deleteEvent	3
kovon-nurse-candidate-dev-deleteFeed	2
kovon-nurse-candidate-dev-getRegisteredEvents	2
kovon-nurse-candidate-dev-patchCompany	2
kovon-nurse-candidate-dev-custom-resource-apigw-cw-role	1
kovon-nurse-candidate-dev-getLike	1
kovon-nurse-candidate-dev-patchComment	1
kovon-nurse-candidate-dev-deleteDocumentMapper	0
kovon-nurse-candidate-dev-getDocumentMapper	0
kovon-nurse-candidate-dev-patchTasksData	0
kovon-nurse-candidate-dev-updateDocumentMapper	0-
kovon-nurse-candidate-dev-updateRegisteredEvent	0
kovon-nurse-candidate-dev-updateTag	0 -
