_id,title,description,jobCategory,isActive,skills,otherSkills,createdAt,updatedAt
ObjectId(692d47be6cb8ef66cdc7d6d5),Tax Compliance Associate,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Tax Compliance Associate"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.857Z,2025-12-01T07:46:06.857Z
ObjectId(692d47be6cb8ef66cdc7d6fa),Certified Public Accountant   CPA,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Certified Public Accountant   CPA  "",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.888Z,2025-12-01T07:46:06.888Z
ObjectId(692d47be6cb8ef66cdc7d6fc),Sales Accountant,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Sales Accountant"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.890Z,2025-12-01T07:46:06.890Z
ObjectId(692d47be6cb8ef66cdc7d6fe),Contract Accountant,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Contract Accountant"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.891Z,2025-12-01T07:46:06.891Z
ObjectId(692d47be6cb8ef66cdc7d700),Collection Officer,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Collection Officer"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.907Z,2025-12-01T07:46:06.907Z
ObjectId(692d47be6cb8ef66cdc7d702),Cost Controller,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Cost Controller"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.911Z,2025-12-01T07:46:06.911Z
ObjectId(692d47be6cb8ef66cdc7d704),Hotel Night Auditor,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Hotel Night Auditor"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.915Z,2025-12-01T07:46:06.915Z
ObjectId(692d47be6cb8ef66cdc7d706),Credit officer   Finance,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Credit officer   Finance  "",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.917Z,2025-12-01T07:46:06.917Z
ObjectId(692d47be6cb8ef66cdc7d708),Chief Accountant,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Chief Accountant"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.919Z,2025-12-01T07:46:06.919Z
ObjectId(692d47be6cb8ef66cdc7d70a),Accounts and Financial Trainer,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Accounts and Financial Trainer"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.933Z,2025-12-01T07:46:06.933Z
ObjectId(692d47be6cb8ef66cdc7d70c),Secretary Cum Accountant,,ObjectId(692d47ba6cb8ef66cdc7ceae),true,"[""Secretary Cum Accountant"",""Communication"",""Teamwork"",""Problem Solving"",""Leadership"",""Strategic Planning"",""Budget Management"",""Negotiation"",""Client Relations"",""Sales Strategy"",""Technical Troubleshooting"",""Equipment Repair"",""System Diagnostics"",""Blueprint Reading"",""Safety Compliance   HSE  "",""Precision Measurement"",""Data Entry"",""MS Office Proficiency"",""Record Keeping""]",[],2025-12-01T07:46:06.935Z,2025-12-01T07:46:06.935Z
