FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Shuttering Carpenter at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Helper at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Mason at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Gypsum Carpenter at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Helper at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Chemical Engineer at Iraq. Error: Status: 401. , Unauthorized
FAILURE: Job Title: AC Mechanic (Split) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Rigger at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Refrigeration Technician (HVAC & Chiller) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Plumber at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: 3 Face AC Mechanic (Split) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Mason at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Shuttering Carpenter at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Carpenter at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Production Engineer (Filter Factory) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Tiles Mason at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Steel Fixer at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Chinese & Japanese Chef at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Helper (Heavy Vehicles) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Electrician at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Electrician at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Water Station Operator at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Sofa Maker at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Gents Tailor - Pant and Shirt at Saudi Arabia. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Senior Liquid Filling Line Operator at Iraq. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Senior Machine Operator (Tablet, Capsule, Granulation) at Iraq. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Plumber at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Plumber at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Waiter at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Manicurist and Pedicurist (Male) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Coat Maker at Madina. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Thob Tailor at Saudi Arabia. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Painter at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Senior Blistering & Carton Machine Operator at Iraq. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Sushi Chef at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Steel Fixer at United Arab Emirates. Error: Status: 401. , Unauthorized
FAILURE: Job Title: House Electrician at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Electronic Technician (Fire Alarm Systems) at KSA. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Coat Cutter at Madina. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Pest Control Supervisor at Oman. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Pest Control Technician at Oman. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Automobile Electrician (Heavy Vehicles) at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Truck/Bus Mechanic at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Ladies Tailor Cutter at Saudi Arabia. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Instrument Technician at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Pipe Fabricator at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Site Engineer - Mechanical (Pipeline) at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Electrical Commissioning Superintendent at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Mechanical Helper at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Win PCS Coordinator at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Document Controller at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Water Pump Mechanic at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Pipe Fitter at UAE. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Scaffolding Supervisor at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 401. , Unauthorized
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Pipe Fabricator at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Senior Blistering & Carton Machine Operator at Iraq. Error: Status: 400. , Bad Request
FAILURE: Job Title: Refrigeration Technician (HVAC & Chiller) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Instrument Technician at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Coat Cutter at Madina. Error: Status: 400. , Bad Request
FAILURE: Job Title: Rigging Supervisor at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Water Station Operator at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Waiter at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Helper at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Steel Fixer at United Arab Emirates. Error: Status: 400. , Bad Request
FAILURE: Job Title: Tiles Mason at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Truck/Bus Mechanic at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Chemical Engineer at Iraq. Error: Status: 400. , Bad Request
FAILURE: Job Title: Automobile Electrician (Heavy Vehicles) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Shuttering Carpenter at United Arab Emirates. Error: Status: 400. , Bad Request
FAILURE: Job Title: Pest Control Technician at Oman. Error: Status: 400. , Bad Request
FAILURE: Job Title: Manicurist and Pedicurist (Male) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Chinese & Japanese Chef at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Gypsum Carpenter at United Arab Emirates. Error: Status: 400. , Bad Request
FAILURE: Job Title: Sushi Chef at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Helper (Heavy Vehicles) at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrician at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Mason at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Electrician at United Arab Emirates. Error: Status: 400. , Bad Request
FAILURE: Job Title: Plumber at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Steel Fixer at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Painter at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Shuttering Carpenter at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Mason at United Arab Emirates. Error: Status: 400. , Bad Request
FAILURE: Job Title: Sofa Maker at UAE. Error: Status: 400. , Bad Request
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Store Supervisor P&M at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: PTW Coordinator at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Welding Inspector at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: E&I Engineers at Qatar. Error: Status: 400. , Bad Request
FAILURE: Job Title: Helper at United Arab Emirates. Error: Status: 504. , Gateway Timeout
FAILURE: Job Title: Senior Liquid Filling Line Operator at Iraq. Error: Status: 504. , Gateway Timeout
FAILURE: Job Title: Water Pump Mechanic at UAE. Error: Status: 504. , Gateway Timeout
FAILURE: Job Title: Tiles Mason at UAE. Error: Status: 500. , Internal Server Error
FAILURE: Job Title: Commissioning Lead Engineer at Qatar. Error: Status: 500. , Internal Server Error
FAILURE: Job Title: Water Station Operator at UAE. Error: Status: 500. , Internal Server Error
